TF,Lib_number,Promoter_name,Lib_FC,Genomic_binding_sum,Genomic_lib_z,Lib_occup,Genomic_binding_log2
Gln3,72,Gph1,-0.030148711,2730.993667,1.378512456,2.068065439,11.41521025
Gln3,80,Gap1,0.144062,7017.616638,9.530179481,-10.50119717,12.77676542
Gln3,60,Asn1,-1.518153793,63227.68882,34.09324162,65.08675869,15.94826886
Gln3,58,Frs2,-0.333798785,38959.87168,28.36044914,20.65555017,15.24970131
Gln3,59,Gdh1,-0.846231717,209906.2474,61.8710073,44.37642862,17.67938558
Gzf3,82,Wsc4,-0.045315465,2292.125462,11.26524732,3.092210845,11.1624703
Gzf3,90,Cup9,-0.012887239,6721.904761,24.49148863,0.889297474,12.71465439
Gzf3,59,Gdh1,-0.206885085,5460.486746,18.65440612,13.35941345,12.41481384
Gzf3,64,Gpa1,-0.337553143,3854.448679,19.36883772,20.86176158,11.9123088
Gzf3,54,Sed1,0.080696876,1363.52903,7.841662343,-5.752874374,10.4131297
Gzf3,80,Gap1,-0.194413275,30499.45616,33.06741732,12.60717616,14.8964959
Gzf3,75,YGR122W,0.044076316,4484.245792,20.09088108,-3.102285682,12.13064964
Gzf3,31,YKL044W,0.112773962,1751.130985,1.736844229,-8.130533386,10.77407129
Gzf3,91,Oca5,0.1558639,2292.125462,11.26524732,-11.40885454,11.1624703
Gzf3,60,Asn1,0.031944982,3270.534403,11.67403232,-2.23895407,11.67531067
Gzf3,70,Rho3,-0.129961692,5396.778357,12.41606753,8.614428433,12.39788272
Gzf3,58,Frs2,-0.385836808,13627.1136,27.47068003,23.46650482,13.73419239
Hcm1,80,Gap1,0.113177181,1803.42651,7.3858789,-8.16075902,10.81652492
Hcm1,87,Hxk1,0.018061567,3606.853021,14.1773561,-1.259801931,11.81652492
Hcm1,78,Ego4,-0.038806622,1587.015329,6.354297571,2.654015228,10.63210035
Hcm1,83,Idi1,-1.04E-05,4616.771867,15.62585555,0.000722907,12.17266873
Hcm1,44,Amn1,-0.23041407,3715.058611,14.44850791,14.76097894,11.85916926
Hcm1,70,Rho3,-0.198058695,1731.28945,7.306367422,12.82772265,10.75763123
Mbp1,66,Cip1,0.517608341,16886.44829,14.75499788,-43.15800471,14.0435783
Mbp1,45,EXG1,0.024790847,14375.12436,2.094111641,-1.733219509,13.81128682
Mbp1,33,Cip1,-0.380920624,24109.99745,21.12993852,23.20526143,14.55734388
Mbp1,50,Cwp2,0.300295419,8791.400907,10.66868428,-23.1396539,13.10187736
Mbp1,64,Gpa1,0.10148016,3361.371057,3.357044344,-7.287363284,11.71483409
Met31,30,Icy1,0.078929983,3232.163604,9.091536545,-5.623436269,11.65828451
Met31,51,Met13,-0.456546725,167942.302,46.15033715,27.12715223,17.35760614
Met31,63,Ies5,-0.460001644,10499.2147,23.91319387,27.30145697,13.3579938
Met31,95,Hem12,-0.966414118,39448.85692,45.54471107,48.82234738,15.26769588
Met31,42,Mup1,-0.921917893,114647.4369,31.48378825,47.21931033,16.80684458
Met31,31,YKL044W,-0.061938202,4140.114067,3.466946831,4.202374786,12.0154548
Met31,79,Cho2,0.034843307,10267.61935,2.75885018,-2.444555093,13.3258141
Mig3,87,Hxk1,-0.166853476,2951.86894,7.192474078,10.92166338,11.52741295
Mig3,46,Hap4,0.119600424,7349.426349,13.84800077,-8.643391676,12.84341593
Mig3,84,Hxt2,-0.252547449,20993.99718,40.17644363,16.05870933,14.35768926
Mig3,74,Aqr1,-0.128411986,3141.246102,13.76031133,8.51621165,11.61712126
Mig3,86,Hxt7,-0.101642113,8678.606838,17.99016496,6.802840643,13.08324775
Mig3,29,Icy1,-0.153392155,2640.611228,4.867256091,10.08661247,11.3666562
Mig3,28,Cin5,0.115202716,3935.239431,10.78451318,-8.312722732,11.9422357
Mig3,41,Ecm13,0.073343654,5453.148883,17.15401117,-5.21523753,12.41287383
Mig3,85,Hxt4,0.049532762,7438.786342,22.99769505,-3.492969225,12.86085155
Mig3,32,Gsy2,-0.061942883,3489.511769,0.911939321,4.202685608,11.76880948
Mig3,57,YKL044W,-0.116493235,3030.49667,5.573269101,7.757292465,11.56533854
Mig3,68,Suc2,0.105253472,8783.348376,22.91570334,-7.568336447,13.10055531
Mig3,71,Tir3,-0.027941359,6553.837771,17.02388243,1.918112931,12.67812425
Mot3,50,Cwp2,-1.275600734,7820.921053,8.227388908,58.69468709,12.93312281
Mot3,71,Tir3,-1.546111124,57918.96118,29.21656005,65.7568132,15.82174811
Mot3,55,Uth1,-0.974137747,17313.94677,18.36995799,49.09560054,14.07964701
Mot3,82,Wsc4,-0.923788818,6117.11574,13.58453964,47.28771336,12.57863586
Mot3,48,Wtm1,-0.502889237,14106.53878,19.76006171,29.4307901,13.78407643
Mot3,33,Cip1,-0.563745502,6060.992416,6.636246803,32.34565498,12.56533832
Msn2,32,Gsy2,-1.881239591,17458.83107,5.539416892,72.85496198,14.09166935
Msn2,86,Hxt7,-0.689871218,7895.539629,9.658974138,38.00908164,12.94682216
Msn2,72,Gph1,-0.899473902,8915.254675,14.72684917,46.39178147,13.1220603
Msn2,88,Usv1,-1.363851853,17426.4162,28.96929701,61.1456469,14.08898828
Msn2,56,Bdh2,-1.42052203,7082.885968,19.78409047,62.64228888,12.7901216
Msn2,40,Rsm7,-0.928595921,4051.719982,11.04800716,47.46306,11.98431876
Msn2,66,Cip1,-0.678422601,14968.34276,24.85599441,37.51519089,13.86962688
Msn2,78,Ego4,-0.960246077,11217.68378,20.5368653,48.60307606,13.4534872
Msn2,69,Spi1,-0.735882193,8744.772161,14.62127681,39.95492567,13.09420508
Msn2,30,Icy1,-0.356258785,7300.231231,7.899909242,21.88122588,12.83372645
Msn2,87,Hxk1,-2.258330344,21668.29047,18.88745045,79.09862648,14.40329772
Nrg2,76,Crc1,-0.039413271,8968.851089,10.78326135,2.694940346,13.13070747
Nrg2,57,YKL044W,-0.126733937,25720.85343,35.31518617,8.409741753,14.65065089
Nrg2,43,Rsb1,-0.072411073,23132.87586,28.065197,4.895274792,14.49765701
Nrg2,81,Gpp1,0.015303303,1670.350386,1.605440393,-1.066389996,10.70593505
Nrg2,89,YBL029C-A,-0.118635251,8403.963917,12.0552731,7.894146592,13.03685425
Nrg2,74,Aqr1,0.075349201,7774.983317,18.51394965,-5.361603012,12.92462386
Rap1,58,Frs2,-1.080955427,4021.759788,6.445585167,52.72843371,11.9736112
Rap1,81,Gpp1,-2.539717715,3670.809596,9.196561709,82.80236262,11.84188257
Rap1,50,Cwp2,-2.27019707,6033.727121,11.12534837,79.26984325,12.55883374
Reb1,74,Aqr1,-3.675284965,5346.926493,11.68746262,92.17239354,12.38449413
Reb1,76,Crc1,-4.334074682,8273.70406,18.36326761,95.04192014,13.01431764
Rgm1,82,Wsc4,-0.292508313,7702.748983,29.5435312,18.35187349,12.9111577
Rgm1,32,Gsy2,0.06127904,1878.026601,1.172652891,-4.339038222,10.87500178
Rgm1,28,Cin5,0.243817409,7283.693952,10.63720559,-18.41217374,12.83045459
Rgm1,89,YBL029C-A,0.094494778,19894.89035,43.57407892,-6.76914446,14.28011033
Rgm1,91,Oca5,0.042583799,7702.748983,29.5435312,-2.995678032,12.9111577
Rpn4,66,Cip1,-0.238897957,5635.911049,38.84235397,15.26076306,12.46043313
Rpn4,67,Lys20,0.421966575,3935.448118,22.12068201,-33.97525625,11.94231221
Sfl1,76,Crc1,0.027900289,6717.549482,8.932694407,-1.952721672,12.71371933
Sfl1,41,Ecm13,0.189760442,4171.047752,3.372637668,-14.05743093,12.02619411
Sfl1,44,Amn1,0.039730098,8939.172657,7.392852991,-2.792150317,13.1259256
Sfl1,71,Tir3,0.191714866,20215.65163,19.13667764,-14.21204957,14.30318509
Sfl1,70,Rho3,-0.033953341,5231.798435,4.807051466,2.325988223,12.35309124
Sfl1,68,Suc2,0.23559292,8775.657706,8.196178276,-17.73905228,13.09929154
Sfl1,84,Hxt2,-0.196007391,6280.022902,5.417059063,12.70368813,12.61655411
Sfl1,69,Spi1,0.151839591,11199.01679,16.27353385,-11.0985195,13.45108446
Sfl1,39,Mga1,-0.294622218,24946.2311,15.40168783,18.47142058,14.60653425
Skn7,35,Fmp48,-0.339564801,13109.8714,19.80142786,20.97203307,13.67836591
Skn7,55,Uth1,-0.564850629,23523.26817,25.535642,32.39745941,14.52180089
