TF,Lib_number,Promoter_name,Lib_FC,Genomic_binding_sum,Genomic_lib_z,Lib_occup,Genomic_binding_log2
Gln3,58,Frs2,-0.333798785,11505.8192,38.4645052,20.65555017,13.49007609
Gln3,59,Gdh1,-0.846231717,6079.49399,45.6041409,44.37642862,12.56973553
Gzf3,82,Wsc4,-0.045315465,1238.455876,3.920232314,3.092210845,10.27432675
Gzf3,90,Cup9,-0.012887239,346.0391419,1.277972733,0.889297474,8.434791426
Gzf3,59,Gdh1,-0.206885085,2385.84882,15.22561809,13.35941345,11.22028691
Gzf3,64,Gpa1,-0.337553143,983.4796664,2.983173017,20.86176158,9.941751415
Gzf3,54,Sed1,0.080696876,1757.514589,12.87713678,-5.752874374,10.77932095
Gzf3,80,Gap1,-0.194413275,2449.592873,12.49948174,12.60717616,11.25832628
Gzf3,75,YGR122W,0.044076316,318.7202623,1.212347377,-3.102285682,8.316146929
Gzf3,31,YKL044W,0.112773962,437.102074,1.523300232,-8.130533386,8.771826413
Gzf3,91,Oca5,0.1558639,1238.455876,3.920232314,-11.40885454,10.27432675
Gzf3,60,Asn1,0.031944982,3096.139691,20.44899074,-2.23895407,11.59625485
Gzf3,70,Rho3,-0.129961692,710.2908702,3.236505673,8.614428433,9.472266131
Gzf3,58,Frs2,-0.385836808,40632.28029,41.36601325,23.46650482,15.31033871
Hcm1,80,Gap1,0.113177181,0,-0.287523062,-8.16075902,#NAME?
Hcm1,87,Hxk1,0.018061567,0,-0.297776138,-1.259801931,#NAME?
Hcm1,78,Ego4,-0.038806622,0,-0.3001172,2.654015228,#NAME?
Hcm1,83,Idi1,-1.04E-05,0,-0.295709659,0.000722907,#NAME?
Hcm1,44,Amn1,-0.23041407,0,-0.298462679,14.76097894,#NAME?
Hcm1,70,Rho3,-0.198058695,0,-0.300446511,12.82772265,#NAME?
Mbp1,66,Cip1,0.517608341,145.9312542,-0.349276103,-43.15800471,7.189145089
Mbp1,45,EXG1,0.024790847,1261.262983,0.566087754,-1.733219509,10.3006534
Mbp1,33,Cip1,-0.380920624,182.4140678,0.39687104,23.20526143,7.511073184
Mbp1,50,Cwp2,0.300295419,1011.095119,17.50539471,-23.1396539,9.981703009
Mbp1,64,Gpa1,0.10148016,171.9904068,0.020879678,-7.287363284,7.426184287
Met31,30,Icy1,0.078929983,70.93665947,-1.083897451,-5.623436269,6.148459488
Met31,51,Met13,-0.456546725,851.2399137,5.653136407,27.12715223,9.733421989
